LON,LAT,EDO,CLAVE,ESTACION,ene-22
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",0
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",0
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",0.8
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",3.2
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",368.7
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",0.6
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",14.7
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",0.6
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",10
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",412
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",8
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",4.3
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",4.7
-92.133333,16.233333,CHIS,COMITANob,"Observatorio de Comit·n, Chis. SMN*",5.2
-92.1,16.2,CHIS,COOCP,"Observatorio de Comit·n, Chis.",5
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",0.5
-93.076389,16.166944,CHIS,CREDREVOLUCIONM,"Cred RevoluciÛn Mexicana, Chis. SMN*",0
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",8.6
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",0
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",2.5
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",0
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",115.2
-92.829444,17.373056,CHIS,ESCALONCP,"El EscalÛn, Chis. SGT*",673.7
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",0
-92.67,15.33,CHIS,ESCUINTLA,"Escuintla, Chis. SMN*",4.75
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",218.9
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",95.2
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",3.2
-92.402778,14.997222,CHIS,HUECP,"Huehuet·n, Chis.",4.3
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",0.2
-92.72,15.886111,CHIS,JALTENANGO,"Jaltenango, Chis. SGT*",6.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",9.68
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",551.7
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",6.5
-93.560278,16.692778,CHIS,LASFLORESCFE,"Las Flores, Chis. CFE*",6.5
-93.598889,17.178611,CHIS,MALCP,"NezahualcÛyotl, Chis.",132.5
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",6.6
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",7.7
-93.631667,16.493889,CHIS,NVAPALESTINA,"Nueva Palestina, Chis. SGT*",5.8
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",559.3
-92.3375,16.851111,CHIS,OXCHUC,"Oxchuc, Chis. SGT*",94.4
-93.861944,16.055278,CHIS,PAREDONmar,"ParedÛn, Chis. SEMAR*",0
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",14.4
-93.458611,17.446111,CHIS,PENCP,"¡ngel Albino Corzo, Chis.",311.2
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",15.8
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",3.4
-93.079167,16.158333,CHIS,REVCP,"RevoluciÛn Mexicana, Chis.",0
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",255.3
-93.231111,16.373611,CHIS,SANTUARIOCFE,"Santuario, Chis. CFE*",5.3
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",541.2
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San CristÛbal, Chis.",19.8
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",28.4
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",0
-92.308333,17.028611,CHIS,SITALA,"Sitala, Chis. SGT*",117.6
-93.085,17.561111,CHIS,SJOCP,"San JoaquÌn, Chis.",478.2
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",7.9
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",58.1
-92.820833,16.938889,CHIS,SNACP,"Santa MarÌa, Chis.",221.6
-93.034167,16.742778,CHIS,SUMIDEROCFE,"CaÒÛn del Sumidero, Chis. CFE*",0.3
-92.260556,14.908056,CHIS,TAPCP,"Tapachula, Chis.",0.7
-93.529167,15.875,CHIS,TPICP,"Tres Picos, Chis.",2.5
-93.1,16.761944,CHIS,TUXCP,"Tuxtla Oriente, Chis.",0.1
-93.147222,16.762778,CHIS,TUXTLAGTZob,"Observatorio de Tuxtla GutiÈrrez, Chis. SMN*",0
-93.133333,16.75,CHIS,TXOCP,"Observatorio de Tuxtla GutiÈrrez, Chis.",0.2
-93.414167,17.231111,CHIS,TZIMBACCFE,"Tzimbac, Chis. CFE*",375.5
-92.909722,17.178333,CHIS,UNIVERSIDADLIND,"Universidad Lindavista, Chis. SMN*",90.92
-93.330556,17.116667,CHIS,YAMCP,"YamonhÛ, Chis.",177.5
-101.057222,29.446944,COAH,AMSCL,"Internacional La Amistad, Coah.",0.52
-100.929722,25.561111,COAH,ARACL,"Ramos Arizpe Aeropuerto, Coah.",5
-101.116667,29.15,COAH,CBRCL,"Cabeceras, Coah.",0
-100.950278,29.327778,COAH,CDACL,"Ciudad AcuÒa, Coah.",0
-100.95,29.213611,COAH,CNTCL,"El Centenario, Coah.",0
-102.037778,26.990278,COAH,CUATROCIENEGAS,"Cuatro CiÈnegas, Coah. SMN*",0
-103.338333,25.695833,COAH,CUICL,"El Cuije, Coah.",0
-103.469167,25.542222,COAH,CYTCL,"Coyote, Coah.",0
-100.920833,25.436111,COAH,ESLCL,"SecretarÌa de Agricultura Saltillo, Coah.",11.71
-100.832222,28.82,COAH,LFGCL,"La Fragua, Coah.",0
-103.228056,25.527778,COAH,MATCL,"Matamoros, Coah.",0
-101.4225,26.908333,COAH,MCVCL,"Observatorio de Monclova, Coah.",13.4
-101.711389,28.013056,COAH,MORELOSMUZQUIZ,"Morelos M˙zquiz, Coah. SMN*",1
-100.5325,28.706667,COAH,PNGCL,"Observatorio de Piedras Negras, Coah.",7.6
-101.002222,27.422222,COAH,PRSCL,"Progreso, Coah.",9.01
-100.556944,28.667778,COAH,RIOESCONDIDOC,"RÌo Escondido Villa De Fuentes, Coah. CILA*",7.5
-100.634444,28.898611,COAH,RioSanRodrigoC,"RÌo San Rodrigo cerca El Moral, Piedras Negras Coah., CILA*",2
-100.575556,25.273333,COAH,SAACL,"San Antonio de las Alazanas, Coah.",13.6
-101.016667,25.376389,COAH,SALCL,"Observatorio de Saltillo, Coah.",11.6
-101.016667,25.376389,COAH,SALTILLOob,"Observatorio de Saltillo, Coah. SMN*",8.4
-100.730833,29.071944,COAH,SANDIEGOC,"San Diego Jimenez, Coah. CILA*",2
-101.122778,27.846667,COAH,SBNCL,"Sabinas, Coah.",4.52
-100.953889,29.034167,COAH,SMGCL,"San Miguel, Coah.",0
-103.699722,27.285278,COAH,SMJCL,"Sierra Mojada, Coah.",0
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",0
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",8.62
-103.45,25.541667,COAH,TORCL,"Observatorio de TorreÛn, Coah.",0
-100.95,27.519444,COAH,VCARRANZA,"Venustiano Carranza, Coah. SMN*",10.8
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",12.53
-102.808056,25.328333,COAH,VSCCL,"Viesca, Coah.",0
-103.613056,19.2475,COL,BVSCM,"Buenavista, Col.",0
-103.725556,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",0
-103.804167,19.2125,COL,CQMCM,"Coquimatl·n, Col.",0
-103.6,19.325,COL,CUACM,"CuauhtÈmoc, Col.",0.1
-103.884444,19.111389,COL,DJLCM,"Presa derivadora Jala, Col.",0
-110.953611,18.726667,COL,ISOCORROmar,"Isla Socorro, Col. SEMAR*",0.76
-103.866389,19.17,COL,LAECM,"La Esperanza, Col.",0
-103.774167,18.809167,COL,LDACM,"Laguna de Amela, Col.",0
-103.725278,19.223333,COL,LPSCM,"La Posta, Col.",0
-104.297778,19.069167,COL,MANZANILLOmar,"Manzanillo, Col. SEMAR*",0.25
-104.316667,19.046389,COL,MANZANILLOob,"Observatorio de Manzanillo, Col. SMN*",0.8
-104.318611,19.044444,COL,MNZCM,"Observatorio de Manzanillo, Col.",7
-103.8125,19.3275,COL,PNTCM,"PeÒitas, Col.",0
-104.100556,18.938611,COL,RDRCM,"Radar, Col.",0
-103.9175,19.463611,COL,SMANANTLANI,"Sierra Manatl·n 1, Jal. SMN*",7.4
-103.867778,18.911667,COL,TCMCM,"Tecom·n, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",0
-99.329444,19.3225,DF,ACOPILCO,"Acopilco, Cd. de MÈx. UNAM*",4.11
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de MÈx.",1.01
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias BiolÛgicas IPN, Cd. de MÈx. SMN*",12.93
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de MÈx.",8.12
-98.999444,19.357222,DF,CDMDF,"C·rcel de Mujeres, Cd. de MÈx.",7.62
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de MÈx.",20.32
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de MÈx.",7.42
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de MÈx.",19.31
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de MÈx.",7.36
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de MÈx.",8.63
-99.134722,19.287778,DF,COAPA,"Coapa, Cd. de MÈx. UNAM*",0.44
-99.19,19.3375,DF,CONAGUAOFC,"Conagua Oficinas Centrales, Cd. de MÈx SGT*",5.86
-99.247222,19.306389,DF,CONTRERAS,"Contreras, Cd. de MÈx. UNAM*",1.41
-99.196111,19.406389,DF,CTMDF,"Observatorio de Tacubaya, Cd. de MÈx.",0.1
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de MÈx.",0
-99.097222,19.193611,DF,CUAUHTENCO,"Cuauhtenco, Cd. de MÈx. UNAM*",3.25
-99.140833,19.549444,DF,CUAUTEPEC,"Cuautepec, Cd. de MÈx. UNAM*",6.18
-99.104722,19.282778,DF,CUEMANCO,"Cuemanco, Cd. de MÈx. UNAM*",0.33
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de MÈx.",10.92
-99.205,19.3,DF,DATDF,"DesviaciÛn Alta, Cd. de MÈx.",0
-99.310556,19.313056,DF,DDELOSLEONES,"Desierto de los Leones, Cd. de MÈx. SACMEX*",0
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de MÈxico, Cd. de MÈx.",6.85
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de MÈx.",0
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de MÈx.",0
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de MÈx. SMN*",2
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de MÈx.",5.08
-99.352222,19.295,DF,EZCDF,"El Zarco, MÈx.",9.65
-99.091667,19.478056,DF,GCNDF,"km 6+250, Cd. de MÈx.",14.6
-99.250833,19.415833,DF,HERRADURA,"Herradura, MÈx. UNAM*",5.24
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de MÈx.",1.02
-99.119444,19.496389,DF,INDIOSVER,"Indios Verdes, Cd. de MÈx. UNAM*",13.96
-99.07,19.349722,DF,IZTAPALAPA,"Iztapalapa, Cd. de MÈx. UNAM*",4.65
-98.978611,19.357778,DF,LOSREYES,"Los Reyes, MÈx. UNAM*",6.36
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro RÌos (El Moral), Cd. de MÈx.",8.89
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de MÈx.",3.05
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de MÈx.",1.01
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de MÈx.",2.54
-99.1175,19.356389,DF,MEXICALTZI,"Mexicaltzingo, Cd. de MÈx. UNAM*",4.16
-99.043889,19.3375,DF,MEYEHUALCO,"Meyehualco, Cd. de MÈx. UNAM*",3.22
-99.0175,19.196667,DF,MILPAALTA,"Milpa Alta, Cd. de MÈx. UNAM*",2.15
-99.026944,19.187222,DF,MLPDF,"Milpa Alta, Cd. de MÈx.",1.77
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo (Mezontepec), Cd. de MÈx.",0.5
-99.243333,19.473889,DF,NAUCALPAN,"Naucalpan, MÈx. UNAM*",7.37
-99.045,19.3025,DF,NOPALERA,"Nopalera, Cd. de MÈx. UNAM*",2.7
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de MÈcico Sur, Cd. de MÈx.",0
-99.071667,19.415,DF,PANTITLAN,"Pantitl·n, Cd. de MÈx. UNAM*",12.9
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de MÈx.",7.36
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de MÈx.",10.42
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. EjÈrcito de Oriente, Cd. de MÈx.",6.85
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de MÈx.",0.25
-99.201944,19.423889,DF,PCHAPULTEPEC,"Planta Chapultepec, Cd. de MÈx. SACMEX*",8.39
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de MÈx.",8.89
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de MÈx.",16.26
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de MÈx.",4.07
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo LÛpez Mateos, Cd. de MÈx.",5.59
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de MÈx.",4.07
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de MÈx.",1.27
-99.206111,19.436389,DF,POLANCO,"Polanco, Cd. de MÈx. UNAM*",9.78
-99.098889,19.384444,DF,PREPA2,"Prepa 2, Cd. de MÈx. UNAM*",14.22
-99.094722,19.482222,DF,PREPA3,"Prepa 3, Cd. de MÈx. UNAM*",12.94
-99.154444,19.513056,DF,PRMDF,"Planta de Tratamiento RÌo de La Magdalena, Cd. de MÈx.",1.77
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento RÌo Remedios, Cd. de MÈx.",0
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de MÈx.",2.79
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa MarÌa, Cd. de MÈx.",12.44
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro M·rtir, Cd. de MÈx.",1.52
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de MÈx.",8.13
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de MÈx.",0
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de MÈx.",1.26
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de MÈx.",1.01
-99.17,19.4,DF,RCMDF,"Radio ComunicaciÛn, Cd. de MÈx.",3.8
-99.279444,19.326389,DF,SANBARTOLO,"San Bartolo, Cd. de MÈx. Unam*, Cd. de MÈx. INIFAP*",3.23
-99.266111,19.306389,DF,SANBERNABE,"San BernabÈ, Cd. de MÈx. UNAM*",2.01
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de MÈx.",0.25
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de MÈx.",2.28
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora (Santa Cruz Meyehualco), Cd. de MÈx.",6.85
-99.121944,19.571944,DF,SDEGUADALUPE,"Sierra de Guadalupe, Cd. de MÈx. SACMEX*",0
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de MÈx.",0
-99.046389,19.253611,DF,SGREGORIO,"San Gregorio, Cd. de MÈx. UNAM*",1.23
-99.066667,19.466667,DF,SJADF,"San Juan de AragÛn, Cd. de MÈx.",8.71
-99.009722,19.281389,DF,SPPDF,"San Pedro Tl·huac, Cd. de MÈx.",2.28
-98.960556,19.320833,DF,SSCDF,"La Caldera SubestaciÛn elÈctrica Santa LucÌa, MÈx.",2.02
-99.196389,19.403611,DF,TACUBAYAob,"Observatorio de Tacubaya, Cd. de MÈx. SMN*",7.4
-99.141389,19.344444,DF,TAXQUENA,"TaxqueÒa, Cd. de MÈx. UNAM*",3.44
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de MÈx.",5.58
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de MÈx.",6.85
